codigo,codigo_dpto,codigo_mun,dpto,mun,metota,mesesc,pmesesc,meserr,centota,carg,cargElectos,cargEmpatados,cargtota,votant,pvotant,absten,pabsten,votnul,pvotnul,votnma,pvotnma,FEDERICO_GUTIÉRREZ_vot,FEDERICO_GUTIÉRREZ_pvot,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,SERGIO_FAJARDO_vot,SERGIO_FAJARDO_pvot,JOHN MILTON_RODRÍGUEZ_vot,JOHN MILTON_RODRÍGUEZ_pvot,ENRIQUE_GÓMEZ MARTÍNEZ_vot,ENRIQUE_GÓMEZ MARTÍNEZ_pvot,LUIS_PÉREZ_vot,LUIS_PÉREZ_pvot,INGRID_BETANCOURT_vot,INGRID_BETANCOURT_pvot,cod2,dane
2300058,10,6,NARIÑO,GUALMATAN,14,14,100,0,5335,0,0,0,0,3340,62.6,1995,37.39,48,1.43,5,0.14,377,11.46,571,17.37,2169,65.98,60,1.82,7,0.21,5,0.15,1,0.03,5,0.15,23058,52323
2100040,17,11,MAGDALENA,GUAMAL,71,71,100,0,24082,0,0,0,0,9155,38.01,14927,61.98,43,0.46,11,0.12,3862,42.43,1817,19.96,3093,33.98,132,1.45,99,1.08,23,0.25,4,0.04,2,0.02,21040,47318
5200040,14,10,META,GUAMAL,32,32,100,0,12289,0,0,0,0,8717,70.93,3572,29.06,82,0.94,8,0.09,1185,13.73,5240,60.73,1749,20.27,197,2.28,149,1.72,8,0.09,1,0.01,3,0.03,52040,50318
2900058,20,15,TOLIMA,GUAMO,74,74,100,0,26024,0,0,0,0,14145,54.35,11879,45.64,170,1.20,26,0.18,3439,24.65,7004,50.21,2869,20.56,296,2.12,128,0.91,42,0.30,2,0.01,13,0.09,29058,73319
1100028,38,21,CAUCA,GUAPI,66,66,100,0,18864,0,0,0,0,7549,40.01,11315,59.98,99,1.31,19,0.25,374,5.03,138,1.85,6634,89.27,50,0.67,157,2.11,13,0.17,2,0.02,3,0.04,11028,19318
2700100,11,5,SANTANDER,GUAPOTA,6,6,100,0,1967,0,0,0,0,1330,67.61,637,32.38,5,0.37,12,0.90,91,6.93,1142,86.97,55,4.18,10,0.76,7,0.53,1,0.07,0,0,0,0,27100,68322
2800049,12,9,SUCRE,GUARANDA,42,42,100,0,14460,0,0,0,0,4927,34.07,9533,65.92,29,0.58,11,0.22,1943,39.75,1105,22.61,1386,28.36,114,2.33,253,5.17,11,0.22,3,0.06,4,0.08,28049,70265
0100142,19,13,ANTIOQUIA,GUARNE,106,106,100,0,39297,0,0,0,0,27010,68.73,12287,31.26,358,1.32,40,0.14,12537,47.11,6508,24.45,4899,18.40,1526,5.73,451,1.69,128,0.48,26,0.09,17,0.06,01142,5318
1500118,21,10,CUNDINAMARCA,GUASCA,30,30,100,0,11784,0,0,0,0,8064,68.43,3720,31.56,154,1.90,11,0.13,779,9.86,4407,55.79,2172,27.49,285,3.60,32,0.40,16,0.20,6,0.07,11,0.13,15118,25322
0100145,17,7,ANTIOQUIA,GUATAPE,20,20,100,0,7595,0,0,0,0,5166,68.01,2429,31.98,43,0.83,6,0.11,3083,60.25,939,18.35,751,14.67,201,3.92,40,0.78,24,0.46,9,0.17,2,0.03,01145,5321
